| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 70     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 140    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 268    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 300    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 969    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 68     | UDP          |             |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 104    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 696    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 163    | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 217    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 228    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 60     | TCP          | SYN         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 44     | TCP          | SYN,ACK     |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 1077   | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 963    | TCP          | PSH,ACK     |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 104    | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 132    | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 211    | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 114    | TCP          | PSH,ACK     |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 71     | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 60     | TCP          | SYN         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 44     | TCP          | SYN,ACK     |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 1068   | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 71     | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 969    | TCP          | PSH,ACK     |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 104    | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 699    | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 217    | TCP          | PSH,ACK     |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 228    | TCP          | PSH,ACK     |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 277    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 82     | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 92     | TCP          | FIN,PSH,ACK |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 64     | TCP          | PSH,ACK     |
| 192.168.163.131 | 36764       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | FIN,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 258    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36764            | TCP       | 128 | 40     | TCP          | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 110    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 257    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 172    | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 963    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53323       | 57.144.149.32   | 443              | UDP       | 64  | 67     | UDP          |             |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 104    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 132    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 108    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 112    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 118    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 118    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 114    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 53323            | UDP       | 128 | 76     | UDP          |             |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 285    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 71     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 71     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 1926   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 116    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 109    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 101    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 172.217.17.35   | 80          | 192.168.163.131 | 40532            | TCP       | 128 | 40     | HTTP         | RST,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 79     | TCP          | PSH,ACK     |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49006            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49022            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49006       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 49022       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 5222        | 192.168.163.131 | 36758            | TCP       | 128 | 79     | TCP          | PSH,ACK     |
| 192.168.163.131 | 36758       | 57.144.149.32   | 5222             | TCP       | 64  | 40     | TCP          | ACK         |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 1553   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 2824   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 464    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 42079       | 192.168.163.2   | 53               | UDP       | 64  | 77     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 42079            | UDP       | 128 | 93     | DNS          |             |
| 192.168.163.131 | 54751       | 192.168.163.2   | 53               | UDP       | 64  | 77     | DNS          |             |
| 192.168.163.131 | 49028       | 57.144.149.32   | 443              | TCP       | 64  | 130    | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 49028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.2   | 53          | 192.168.163.131 | 54751            | UDP       | 128 | 105    | DNS          |             |
| 192.168.163.131 | 53702       | 103.11.3.162    | 443              | TCP       | 64  | 60     | HTTPS        | SYN         |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 60     | HTTPS        | SYN         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 44     | HTTPS        | SYN,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 719    | HTTPS        | PSH,ACK     |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 3890   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 41889       | 192.168.163.2   | 53               | UDP       | 64  | 63     | DNS          |             |
| 192.168.163.2   | 53          | 192.168.163.131 | 41889            | UDP       | 128 | 184    | DNS          |             |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 60     | HTTP         | SYN         |
| 23.15.147.118   | 80          | 192.168.163.131 | 54944            | TCP       | 128 | 44     | HTTP         | SYN,ACK     |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 40     | HTTP         | ACK         |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 471    | HTTP         | PSH,ACK     |
| 23.15.147.118   | 80          | 192.168.163.131 | 54944            | TCP       | 128 | 40     | HTTP         | ACK         |
| 23.15.147.118   | 80          | 192.168.163.131 | 54944            | TCP       | 128 | 912    | HTTP         | PSH,ACK     |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 40     | HTTP         | ACK         |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 104    | HTTPS        | PSH,ACK     |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 132    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 567    | HTTPS        | PSH,ACK     |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 298    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 71     | HTTPS        | PSH,ACK     |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 84     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 10118  | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 2824   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1395   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 2824   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 1385   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53702            | TCP       | 128 | 44     | HTTPS        | SYN,ACK     |
| 192.168.163.131 | 53702       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 2824   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 12568  | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 1385   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 20920  | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 1385   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1260   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1260   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1260   | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 73     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1260   | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 73     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 278    | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 108    | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 74     | UDP          |             |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 471    | HTTP         | PSH,ACK     |
| 23.15.147.118   | 80          | 192.168.163.131 | 54944            | TCP       | 128 | 40     | HTTP         | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 71     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1257   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 88     | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 75     | UDP          |             |
| 23.15.147.118   | 80          | 192.168.163.131 | 54944            | TCP       | 128 | 912    | HTTP         | PSH,ACK     |
| 192.168.163.131 | 54944       | 23.15.147.118   | 80               | TCP       | 64  | 40     | HTTP         | ACK         |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 164    | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 94     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 72     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 364    | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 63     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1257   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 1257   | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 47886            | UDP       | 128 | 359    | UDP          |             |
| 192.168.163.131 | 47886       | 103.11.3.162    | 443              | UDP       | 64  | 64     | UDP          |             |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 20920  | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 53716       | 103.11.3.162    | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 103.11.3.162    | 443         | 192.168.163.131 | 53716            | TCP       | 128 | 1432   | HTTPS        | PSH,ACK     |
