| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 192.168.163.131 | 46216       | 172.217.17.46   | 33473            | UDP       | 14  | 60     | UDP          |             |
| 192.168.163.131 | 40875       | 172.217.17.46   | 33474            | UDP       | 14  | 60     | UDP          |             |
| 192.168.163.131 | 41235       | 172.217.17.46   | 33475            | UDP       | 14  | 60     | UDP          |             |
| 192.168.163.131 | 40563       | 172.217.17.46   | 33476            | UDP       | 15  | 60     | UDP          |             |
| 192.168.163.131 | 48843       | 172.217.17.46   | 33477            | UDP       | 15  | 60     | UDP          |             |
| 192.168.163.131 | 58350       | 172.217.17.46   | 33478            | UDP       | 15  | 60     | UDP          |             |
| 192.168.163.131 | 33761       | 172.217.17.46   | 33479            | UDP       | 16  | 60     | UDP          |             |
| 192.168.163.131 | 41993       | 172.217.17.46   | 33480            | UDP       | 16  | 60     | UDP          |             |
| 192.168.163.131 | 48253       | 172.217.17.46   | 33481            | UDP       | 16  | 60     | UDP          |             |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 60632       | 142.250.181.110 | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 142.250.181.110 | 443         | 192.168.163.131 | 60632            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 60632       | 142.250.181.110 | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 142.250.181.110 | 443         | 192.168.163.131 | 60632            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 60632       | 142.250.181.110 | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 142.250.181.110 | 443         | 192.168.163.131 | 60632            | TCP       | 128 | 40     | HTTPS        | ACK         |
