Source IP,Source Port,Destination IP,Destination Port,Protocol,TTL,Length,Packet Type,TCP Flags
127.0.0.1,8888,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,8080,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,8080,TCP,59,44,TCP,SYN
127.0.0.1,8080,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,8080,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,139,TCP,40,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,139,TCP,40,44,TCP,SYN
127.0.0.1,139,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,139,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,80,TCP,42,44,HTTP,SYN
127.0.0.1,43777,127.0.0.1,80,TCP,42,44,HTTP,SYN
127.0.0.1,80,127.0.0.1,43777,TCP,64,40,HTTP,"RST,ACK"
127.0.0.1,80,127.0.0.1,43777,TCP,64,40,HTTP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,256,TCP,44,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,256,TCP,44,44,TCP,SYN
127.0.0.1,256,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,256,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,443,TCP,53,44,HTTPS,SYN
127.0.0.1,43777,127.0.0.1,443,TCP,53,44,HTTPS,SYN
127.0.0.1,443,127.0.0.1,43777,TCP,64,40,HTTPS,"RST,ACK"
127.0.0.1,443,127.0.0.1,43777,TCP,64,40,HTTPS,"RST,ACK"
127.0.0.1,43777,127.0.0.1,445,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,445,TCP,51,44,TCP,SYN
127.0.0.1,445,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,445,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,22,TCP,41,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,22,TCP,41,44,TCP,SYN
127.0.0.1,22,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,22,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,25,TCP,37,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,25,TCP,37,44,TCP,SYN
127.0.0.1,25,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,25,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,50003,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,50003,TCP,51,44,TCP,SYN
127.0.0.1,50003,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,50003,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1059,TCP,52,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1059,TCP,52,44,TCP,SYN
127.0.0.1,1059,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1059,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,38292,TCP,57,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,38292,TCP,57,44,TCP,SYN
127.0.0.1,38292,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,38292,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,50389,TCP,48,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,50389,TCP,48,44,TCP,SYN
127.0.0.1,50389,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,50389,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1186,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1186,TCP,51,44,TCP,SYN
127.0.0.1,1186,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1186,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1112,TCP,57,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1112,TCP,57,44,TCP,SYN
127.0.0.1,1112,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1112,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,88,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,88,TCP,50,44,TCP,SYN
127.0.0.1,88,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,88,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,27356,TCP,54,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,27356,TCP,54,44,TCP,SYN
127.0.0.1,27356,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,27356,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,3268,TCP,41,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,3268,TCP,41,44,TCP,SYN
127.0.0.1,3268,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,3268,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,44176,TCP,48,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,44176,TCP,48,44,TCP,SYN
127.0.0.1,44176,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,44176,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1108,TCP,55,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1108,TCP,55,44,TCP,SYN
127.0.0.1,1108,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1108,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,49152,TCP,49,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,49152,TCP,49,44,TCP,SYN
127.0.0.1,49152,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,49152,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,9500,TCP,44,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,9500,TCP,44,44,TCP,SYN
127.0.0.1,9500,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,9500,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
